ID,Mid1,Mid2,Final,HW,Score,Grade
1,91.66666667,86.25,74.28571429,33.42592593,71.40707672,C
2,100,95,88.57142857,88.49150849,93.01573427,A
3,88.88888889,102.5,100,84.38737189,93.94406519,A
4,83.33333333,70,71.42857143,59.99440173,71.18907662,C
5,91.66666667,90,77.14285714,25.76617827,71.14392552,C
6,72.22222222,97.5,85.71428571,92.0036807,86.86004716,B
7,88.88888889,67.5,65.71428571,48.77768769,67.72021557,D
8,100,97.5,80,95.53542673,93.25885668,A
9,83.33333333,90,71.42857143,50.66503545,73.85673505,C
10,72.22222222,80,65.71428571,89.76625227,76.92569005,C
11,88.88888889,57.5,71.42857143,76.98219655,73.69991422,C
12,72.22222222,85,74.28571429,81.44300144,78.23773449,C
13,88.88888889,55,62.85714286,64.10253997,67.71214293,D
14,52.77777778,65,60,53.88481888,57.91564917,F
15,91.66666667,60,65.71428571,16.33597884,58.4292328,F
16,88.88888889,90,71.42857143,59.2959818,77.40336053,C
17,100,97.5,91.42857143,78.06798676,91.74913955,A
18,75,92.5,100,84.49485699,87.99871425,B
19,83.33333333,77.5,65.71428571,87.68880878,78.55910696,C
20,83.33333333,100,80,13.86548637,69.29970492,D
21,91.66666667,80,68.57142857,78.19075047,79.60721143,C
22,77.77777778,70,74.28571429,93.12472552,78.79705439,C
23,83.33333333,82.5,65.71428571,79.40440799,77.73800676,C
24,66.66666667,45,60,42.1773637,53.46100759,F
25,75,85,65.71428571,70.05991593,73.94355041,C
26,91.66666667,95,68.57142857,86.39345759,85.40788821,B
27,66.66666667,70,68.57142857,66.04099604,67.81977282,D
28,66.66666667,82.5,77.14285714,68.78464128,73.77354127,C
29,100,102.5,91.42857143,89.16679536,95.7738417,A
30,86.11111111,92.5,71.42857143,88.18753308,84.5568039,B
31,94.44444444,90,85.71428571,58.9461384,82.27621714,B
32,88.88888889,87.5,82.85714286,83.81467968,85.76517786,B
33,97.22222222,95,88.57142857,95.46490546,94.06463906,A
34,77.77777778,85,71.42857143,91.5974766,81.45095645,B
35,69.44444444,80,74.28571429,53.03365716,69.19095397,D
36,77.77777778,82.5,62.85714286,50.8252818,68.49005061,D
37,72.22222222,75,85.71428571,33.85572962,66.69805939,D
38,66.66666667,15,65.71428571,17.46031746,41.21031746,F
39,63.88888889,82.5,68.57142857,53.21193299,67.04306261,D
40,72.22222222,90,77.14285714,82.93513652,80.57505397,B
41,72.22222222,50,54.28571429,22.28835979,49.69907407,F
42,72.22222222,95,74.28571429,82.89704659,81.10124578,B
43,61.11111111,85,65.71428571,68.48945338,70.07871255,C
44,88.88888889,85,65.71428571,62.52776209,75.53273417,C
45,66.66666667,90,88.57142857,80.35508775,81.39829575,B
46,94.44444444,90,82.85714286,82.50786251,87.45236245,B
47,100,85,80,68.80111837,83.45027959,B
48,77.77777778,60,71.42857143,89.32160432,74.63198838,C
49,83.33333333,100,77.14285714,78.7209047,84.79927379,B
50,50,72.5,62.85714286,92.65785744,69.50375007,D
51,72.22222222,65,62.85714286,76.42189131,69.1253141,D
52,77.77777778,77.5,82.85714286,68.46327585,76.64954912,C
53,44.44444444,40,82.85714286,20.83333333,47.03373016,F
54,63.88888889,55,60,37.59259259,54.12037037,F
55,77.77777778,47.5,68.57142857,20.03968254,53.47222222,F
56,80.55555556,97.5,74.28571429,77.73232001,82.51839746,B
57,66.66666667,72.5,65.71428571,86.96712305,72.96201886,C
58,70.83333333,62.5,68.57142857,40.43070456,60.58386662,D
59,91.66666667,87.5,88.57142857,44.92063492,78.16468254,C
60,77.77777778,77.5,74.28571429,70.22438109,74.94696829,C
61,94.44444444,92.5,82.85714286,93.55864345,90.84005769,A
62,63.88888889,70,68.57142857,89.22692042,72.92180947,C
63,66.66666667,60,71.42857143,55.5441137,63.40983795,D
65,100,100,85.71428571,62.13538072,86.96241661,B
66,66.66666667,65,82.85714286,48.25303923,65.69421219,D
67,88.88888889,65,71.42857143,65.36766776,72.67128202,C
68,88.88888889,92.5,80,84.05159655,86.36012136,B
69,77.77777778,55,80,35.45956459,62.05933559,D
70,72.22222222,70,65.71428571,85.05616364,73.24816789,C
