Price,Sqft,Baths,Location
2400,4918,4.5,"Bryan, TX"
680,3645,3,"Bryan, TX"
570,1900,2,"Bryan, TX"
400,3123,3.5,"Bryan, TX"
320,2365,3,"Bryan, TX"
280,3361,3,"Bryan, TX"
260,2383,2.5,"Bryan, TX"
229,3770,4.5,"Bryan, TX"
215,2979,3.5,"Bryan, TX"
200,2088,2,"Bryan, TX"
183,2343,2.5,"Bryan, TX"
170,2526,2,"Bryan, TX"
145,1812,2,"Bryan, TX"
100,2432,2,"Bryan, TX"
168,2988,2.5,"Bryan, TX"
499,3486,4,"College Station, TX"
492,3400,3,"College Station, TX"
475,3517,3.5,"College Station, TX"
460,4398,3.5,"College Station, TX"
375,2835,3,"College Station, TX"
360,3131,3,"College Station, TX"
323,2561,3.5,"College Station, TX"
288,2450,3,"College Station, TX"
285,2667,2.5,"College Station, TX"
281,2797,2.5,"College Station, TX"
225,2474,2,"College Station, TX"
225,2565,2.5,"College Station, TX"
176,1978,2,"College Station, TX"
165,1504,3,"College Station, TX"
160,1496,4,"College Station, TX"
